data;descricao;entrada;saida;saldo;;;
05/01/2022 00:00;Venda cliente A - produto X;1250000;0;1250000;;;
05/01/2022 00:00;Pagamento aluguel;0;450000;800000;;;
06/01/2022 00:00;Compra matéria-prima;0;320000;480000;;;
10/01/2022 00:00;Salários equipe;0;1850000;-1370000;;;
15/01/2022 00:00;Venda cliente B - serviço Y;820000;0;-550000;;;
18/01/2022 00:00;Pagamento fornecedor Alpha;0;750000;-1300000;;;
25/01/2022 00:00;Recebimento cliente C - parcela 1/3;400000;0;-900000;;;
30/01/2022 00:00;Manutenção equipamentos;0;320000;-1220000;;;
05/02/2022 00:00;Venda cliente D - produto Z;980000;0;-240000;;;
05/02/2022 00:00;Pagamento aluguel;0;450000;-690000;;;
10/02/2022 00:00;Salários equipe;0;1850000;-2540000;;;
12/02/2022 00:00;Recebimento atrasado cliente A;1250000;0;-1290000;;;
15/02/2022 00:00;Venda cliente E - pacote premium;1520000;0;230000;;;
20/02/2022 00:00;Pagamento fornecedor Beta;0;680000;-450000;;;
28/02/2022 00:00;Recebimento cliente C - parcela 2/3;400000;0;-50000;;;
05/03/2022 00:00;Venda cliente F - serviço X;1120000;0;1070000;;;
05/03/2022 00:00;Pagamento aluguel;0;450000;620000;;;
10/03/2022 00:00;Salários equipe + benefícios;0;1950000;-1330000;;;
15/03/2022 00:00;Venda sazonal - promoção verão;2840000;0;1510000;;;
18/03/2022 00:00;Compra estoque sazonal;0;1250000;260000;;;
25/03/2022 00:00;Recebimento cliente C - parcela 3/3;400000;0;660000;;;
05/04/2022 00:00;Venda cliente G - produto Y;870000;0;1530000;;;
05/04/2022 00:00;Pagamento aluguel + reajuste;0;480000;1050000;;;
10/04/2022 00:00;Salários equipe;0;1850000;-800000;;;
12/04/2022 00:00;Recebimento cliente B - atraso 30d;820000;0;20000;;;
15/04/2022 00:00;Venda cliente H - serviço Z;1050000;0;1070000;;;
22/04/2022 00:00;Pagamento impostos trimestrais;0;1280000;-210000;;;
05/05/2022 00:00;Venda cliente I - produto X;1320000;0;1110000;;;
05/05/2022 00:00;Pagamento aluguel;0;480000;630000;;;
10/05/2022 00:00;Salários equipe + horas extras;0;2150000;-1520000;;;
15/05/2022 00:00;Venda cliente J - contrato anual;4500000;0;2980000;;;
20/05/2022 00:00;Adiantamento fornecedores;0;1200000;1780000;;;
25/05/2022 00:00;Manutenção preventiva;0;580000;1200000;;;
05/06/2022 00:00;Venda cliente K - produto W;950000;0;2150000;;;
05/06/2022 00:00;Pagamento aluguel;0;480000;1670000;;;
10/06/2022 00:00;Salários equipe;0;1850000;-180000;;;
15/06/2022 00:00;Venda sazonal - dia dos namorados;3260000;0;3080000;;;
20/06/2022 00:00;Investimento em marketing;0;850000;2230000;;;
28/06/2022 00:00;Recebimento cliente D - atraso 15d;980000;0;3210000;;;
05/07/2022 00:00;Venda cliente L - serviço Y;760000;0;3970000;;;
05/07/2022 00:00;Pagamento aluguel;0;480000;3490000;;;
10/07/2022 00:00;Salários equipe + dissídio;0;1980000;1510000;;;
15/07/2022 00:00;Venda cliente M - pacote corporativo;2870000;0;4380000;;;
22/07/2022 00:00;Compra novos equipamentos;0;3250000;1130000;;;
05/08/2022 00:00;Venda cliente N - produto X;1180000;0;2310000;;;
05/08/2022 00:00;Pagamento aluguel;0;480000;1830000;;;
10/08/2022 00:00;Salários equipe;0;1980000;-150000;;;
12/08/2022 00:00;Recebimento cliente E - atraso 60d;1520000;0;1370000;;;
15/08/2022 00:00;Venda cliente O - serviço personalizado;1650000;0;3020000;;;
25/08/2022 00:00;Pagamento licenças software;0;720000;2300000;;;
